"power","sample_size","effect_g","effect_p","effect_w"
0.8,450,1.27122112837746,1.28293577873786,1.27185494755044
0.85,450,1.29365902026445,1.30690401960343,1.29469127215654
0.9,450,1.32223543083429,1.33745736947451,1.32366530359918
0.95,450,1.36513606020354,1.38326767370707,1.36755176313555
0.8,499,1.25636958645561,1.2674797841429,1.2569834440566
0.85,499,1.27778306804643,1.28997216470401,1.2786669291473
0.9,499,1.30477437691836,1.31867213771362,1.30606353317863
0.95,499,1.34545765486872,1.36138816446708,1.34752799478802
0.8,548,1.2440397246393,1.25386834289695,1.24456394355717
0.85,548,1.26427126527276,1.27525986333048,1.26502097628922
0.9,548,1.29001754888746,1.30205096549866,1.29113846059197
0.95,548,1.32842844489808,1.34294453557283,1.33022109244468
0.8,597,1.23306439137811,1.24233763691729,1.23353900926638
0.85,597,1.25232063366839,1.26253797757147,1.25300553947386
0.9,597,1.27716209463463,1.28827744647611,1.27799934903618
0.95,597,1.31335732980602,1.32685353770211,1.31554496766175
0.8,646,1.22351611161071,1.23192400722091,1.22392328750609
0.85,646,1.24219865828746,1.25116358619638,1.24278612246998
0.9,646,1.2656429731087,1.27588557090824,1.26650406109626
0.95,646,1.30048641394694,1.31252178977474,1.30194547945866
0.8,695,1.21508591324317,1.22283139902883,1.21544947885597
0.85,695,1.23285285906351,1.24153439606011,1.23339417632499
0.9,695,1.25542715111149,1.26506063432723,1.25621663843349
0.95,695,1.28929786573948,1.30009662865672,1.29056774770588
